,Contrast,abbrev,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
0,abbrev * group_label,ACVII,relapse,control,4221800.0,4458532.796784162,5065700.0,3923693.6297320668,False,True,-0.31772349638350506,8.0,one-sided,0.3794146766921259,0.4701479979304623,fdr_bh,1.017,-0.20094598294482938
1,abbrev * group_label,ACVII,relapse,cue,4221800.0,4458532.796784162,8382250.0,7241089.06979238,False,True,-1.0065722313546153,4.766866688296638,one-sided,0.18123377958477355,0.4056412224739709,fdr_bh,1.366,-0.7152954837884348
2,abbrev * group_label,ACVII,relapse,alcohol,4221800.0,4458532.796784162,7714750.0,2790009.9312845943,False,True,-1.4353824617599116,6.72566868384548,one-sided,0.09800247401212832,0.3606058503466724,fdr_bh,1.79,-0.9111803688418486
3,abbrev * group_label,ACVII,control,cue,5065700.0,3923693.6297320668,8382250.0,7241089.06979238,False,True,-0.8243236705381178,4.393098504151454,one-sided,0.2260842124641459,0.4277040885049327,fdr_bh,1.245,-0.5931041217763425
4,abbrev * group_label,ACVII,control,alcohol,5065700.0,3923693.6297320668,7714750.0,2790009.9312845943,False,True,-1.18172719778757,6.951562565553349,one-sided,0.13807831932453024,0.3955124739973832,fdr_bh,1.513,-0.7604987537044684
5,abbrev * group_label,ACVII,cue,alcohol,8382250.0,7241089.06979238,7714750.0,2790009.9312845943,False,True,0.1720361877037309,6.0,one-sided,0.4345325285163792,0.4803232280682988,fdr_bh,1.056,0.12164795493478985
6,abbrev * group_label,VII,relapse,control,1384061.723858,1349302.8858934352,2416398.7042851998,1555429.949716979,False,True,-1.1210488875148252,8.0,one-sided,0.1473940320378006,0.4013633958304434,fdr_bh,1.428,-0.7090135705889492
7,abbrev * group_label,VII,relapse,cue,1384061.723858,1349302.8858934352,3145904.3823384,2087133.7967841506,False,True,-1.5851569174506286,8.0,one-sided,0.07579535441339356,0.35138493450243996,fdr_bh,1.985,-1.0025412615830989
8,abbrev * group_label,VII,relapse,alcohol,1384061.723858,1349302.8858934352,1258065.627024,639021.7917325228,False,True,0.1845295381764871,5.93527988613201,one-sided,0.429870712866974,0.47914029543412967,fdr_bh,1.028,0.11428905211601764
9,abbrev * group_label,VII,control,cue,2416398.7042851998,1555429.949716979,3145904.3823384,2087133.7967841506,False,True,-0.6266763861901223,8.0,one-sided,0.27416641650649365,0.4385261629573885,fdr_bh,1.112,-0.3963449472408152
10,abbrev * group_label,VII,control,alcohol,2416398.7042851998,1555429.949716979,1258065.627024,639021.7917325228,False,True,1.5132113575059059,5.537251216164386,one-sided,0.09252229816628517,0.3567209518654493,fdr_bh,1.893,0.9281528720805325
11,abbrev * group_label,VII,cue,alcohol,3145904.3823384,2087133.7967841506,1258065.627024,639021.7917325228,False,True,1.913545089862622,4.902581721972661,one-sided,0.05750782057585888,0.34508662235315934,fdr_bh,2.577,1.1565906132864363
12,abbrev * group_label,VNC,relapse,control,2563059.3383462,2259143.0877073,4049628.154382,2257124.397962771,False,True,-1.040891156815137,8.0,one-sided,0.16417928016907493,0.4056412224739709,fdr_bh,1.36,-0.6583173703726659
13,abbrev * group_label,VNC,relapse,cue,2563059.3383462,2259143.0877073,3260699.350256,1898252.132880964,False,True,-0.5032705202944767,6.954045148760242,one-sided,0.31515995757699633,0.44958634746892173,fdr_bh,1.099,-0.3303157050135729
14,abbrev * group_label,VNC,relapse,alcohol,2563059.3383462,2259143.0877073,1804883.16673875,1463647.2396013022,False,True,0.6077456995921006,6.801934579788373,one-sided,0.28154383928335047,0.4385261629573885,fdr_bh,1.138,0.38718109570303705
15,abbrev * group_label,VNC,control,cue,4049628.154382,2257124.397962771,3260699.350256,1898252.132880964,False,True,0.5693955542953413,6.953029100242226,one-sided,0.29350136327948506,0.4387616224836636,fdr_bh,1.123,0.3737570642777773
16,abbrev * group_label,VNC,control,alcohol,4049628.154382,2257124.397962771,1804883.16673875,1463647.2396013022,False,True,1.8004179523858022,6.803770604970204,one-sided,0.058020359771283135,0.34508662235315934,fdr_bh,2.354,1.1471131172572773
17,abbrev * group_label,VNC,cue,alcohol,3260699.350256,1898252.132880964,1804883.16673875,1463647.2396013022,False,True,1.214696897999763,6.0,one-sided,0.13505610820398514,0.3955124739973832,fdr_bh,1.57,0.8589204136618964
18,abbrev * group_label,CN,relapse,control,2955933.3006380005,1343131.1340834256,2714537.8017920004,1375670.8435010046,False,True,0.2807504675319061,8.0,one-sided,0.39301286291426063,0.4701479979304623,fdr_bh,1.01,0.1775621863115949
19,abbrev * group_label,CN,relapse,cue,2955933.3006380005,1343131.1340834256,2529878.148627,1821311.382287251,False,True,0.4209843545096165,8.0,one-sided,0.3424242757083906,0.46543996724974274,fdr_bh,1.041,0.26625388390923316
20,abbrev * group_label,CN,relapse,alcohol,2955933.3006380005,1343131.1340834256,2108106.3401475,1428365.55050881,False,True,0.9085184016293628,6.358959662540887,one-sided,0.19836463848692887,0.41313079054207846,fdr_bh,1.297,0.6142316970175755
21,abbrev * group_label,CN,control,cue,2714537.8017920004,1375670.8435010046,2529878.148627,1821311.382287251,False,True,0.18090598497685134,8.0,one-sided,0.4304702259768167,0.47914029543412967,fdr_bh,0.995,0.1144149909766107
22,abbrev * group_label,CN,control,alcohol,2714537.8017920004,1375670.8435010046,2108106.3401475,1428365.55050881,False,True,0.6433399519815834,6.443306601501897,one-sided,0.2711054464873255,0.4385261629573885,fdr_bh,1.153,0.43363072878748987
23,abbrev * group_label,CN,cue,alcohol,2529878.148627,1821311.382287251,2108106.3401475,1428365.55050881,False,True,0.38934757030671296,6.9989444148004845,one-sided,0.3542971621918923,0.4701479979304623,fdr_bh,1.066,0.2534221378489387
24,abbrev * group_label,B,relapse,control,5711549.067599999,3744738.711093519,11091058.351646,5302275.873362692,False,True,-1.853082863435862,8.0,one-sided,0.05049880827108835,0.3364398900478368,fdr_bh,2.475,-1.1719925082968154
25,abbrev * group_label,B,relapse,cue,5711549.067599999,3744738.711093519,7492902.564110001,7475364.200428628,False,True,-0.47641307335857,8.0,one-sided,0.32326015484520465,0.4527428135539192,fdr_bh,1.057,-0.3013100837787931
