,Contrast,abbrev,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
0,abbrev * group_label,ACVII,relapse,control,4221800.0,4458532.796784162,5065700.0,3923693.6297320668,False,True,-0.31772349638350506,8.0,two-sided,0.7588293533842518,0.9442076866325074,fdr_bh,0.508,-0.20094598294482938
1,abbrev * group_label,ACVII,relapse,cue,4221800.0,4458532.796784162,8382250.0,7241089.06979238,False,True,-1.0065722313546153,4.766866688296638,two-sided,0.3624675591695471,0.8220101903455017,fdr_bh,0.683,-0.7152954837884348
2,abbrev * group_label,ACVII,relapse,alcohol,4221800.0,4458532.796784162,7714750.0,2790009.9312845943,False,True,-1.4353824617599116,6.72566868384548,two-sided,0.19600494802425664,0.7582232237388585,fdr_bh,0.895,-0.9111803688418486
3,abbrev * group_label,ACVII,control,cue,5065700.0,3923693.6297320668,8382250.0,7241089.06979238,False,True,-0.8243236705381178,4.393098504151454,two-sided,0.4521684249282918,0.86770885260189,fdr_bh,0.622,-0.5931041217763425
4,abbrev * group_label,ACVII,control,alcohol,5065700.0,3923693.6297320668,7714750.0,2790009.9312845943,False,True,-1.18172719778757,6.951562565553349,two-sided,0.2761566386490605,0.8058405444185004,fdr_bh,0.757,-0.7604987537044684
5,abbrev * group_label,ACVII,cue,alcohol,8382250.0,7241089.06979238,7714750.0,2790009.9312845943,False,True,0.1720361877037309,6.0,two-sided,0.8690650570327584,0.9746956300505225,fdr_bh,0.528,0.12164795493478985
6,abbrev * group_label,VII,relapse,control,1384061.723858,1349302.8858934352,2416398.7042851998,1555429.949716979,False,True,-1.1210488875148252,8.0,two-sided,0.2947880640756012,0.8118636951327439,fdr_bh,0.714,-0.7090135705889492
7,abbrev * group_label,VII,relapse,cue,1384061.723858,1349302.8858934352,3145904.3823384,2087133.7967841506,False,True,-1.5851569174506286,8.0,two-sided,0.15159070882678713,0.7401991403413843,fdr_bh,0.993,-1.0025412615830989
8,abbrev * group_label,VII,relapse,alcohol,1384061.723858,1349302.8858934352,1258065.627024,639021.7917325228,False,True,0.1845295381764871,5.93527988613201,two-sided,0.859741425733948,0.9700962953057681,fdr_bh,0.514,0.11428905211601764
9,abbrev * group_label,VII,control,cue,2416398.7042851998,1555429.949716979,3145904.3823384,2087133.7967841506,False,True,-0.6266763861901223,8.0,two-sided,0.5483328330129873,0.8954211154049528,fdr_bh,0.556,-0.3963449472408152
10,abbrev * group_label,VII,control,alcohol,2416398.7042851998,1555429.949716979,1258065.627024,639021.7917325228,False,True,1.5132113575059059,5.537251216164386,two-sided,0.18504459633257034,0.7480947316974501,fdr_bh,0.946,0.9281528720805325
11,abbrev * group_label,VII,cue,alcohol,3145904.3823384,2087133.7967841506,1258065.627024,639021.7917325228,False,True,1.913545089862622,4.902581721972661,two-sided,0.11501564115171777,0.7020645877207536,fdr_bh,1.288,1.1565906132864363
12,abbrev * group_label,SUV,relapse,control,3725970.6798642003,3664446.2688112874,6530153.02912,3096051.520490431,False,True,-1.3070674991988362,8.0,two-sided,0.22750608592224594,0.7756370842270185,fdr_bh,0.807,-0.8266620706097262
13,abbrev * group_label,SUV,relapse,cue,3725970.6798642003,3664446.2688112874,6340068.8081425,3377839.6027260455,False,True,-1.1108160363278827,6.79252195057859,two-sided,0.3044148472012178,0.8118636951327439,fdr_bh,0.725,-0.7375179106894049
14,abbrev * group_label,SUV,relapse,alcohol,3725970.6798642003,3664446.2688112874,3055682.1478735004,2855055.2145779543,False,True,0.3084120114157027,6.99976681748692,two-sided,0.7667447411056798,0.9442076866325074,fdr_bh,0.524,0.20058569490755024
15,abbrev * group_label,SUV,control,cue,6530153.02912,3096051.520490431,6340068.8081425,3377839.6027260455,False,True,0.08703762684617931,6.265157726572256,two-sided,0.9333571466911561,0.9887516109677795,fdr_bh,0.51,0.059035318970879824
16,abbrev * group_label,SUV,control,alcohol,6530153.02912,3096051.520490431,3055682.1478735004,2855055.2145779543,False,True,1.7471034159877705,6.791580285896271,two-sided,0.12542790954936828,0.7210912518579651,fdr_bh,1.129,1.1600351516455158
17,abbrev * group_label,SUV,cue,alcohol,6340068.8081425,3377839.6027260455,3055682.1478735004,2855055.2145779543,False,True,1.4852076831245793,6.0,two-sided,0.18803038662560329,0.7521215465024131,fdr_bh,0.933,1.0502004242077512
18,abbrev * group_label,VCO,relapse,control,3184249.992362,1496557.0677358534,2958450.642178,1509984.1820290328,False,True,0.2374932059264728,8.0,two-sided,0.8182433524990427,0.9523865566147776,fdr_bh,0.501,0.15020389190861072
19,abbrev * group_label,VCO,relapse,cue,3184249.992362,1496557.0677358534,2867061.871409,2090791.807753634,False,True,0.2758450967239603,8.0,two-sided,0.7896585572774388,0.9442076866325074,fdr_bh,0.504,0.17445975740743308
20,abbrev * group_label,VCO,relapse,alcohol,3184249.992362,1496557.0677358534,2479361.40766,1626038.2002625263,False,True,0.6693713273241002,6.280525872905878,two-sided,0.5270874423492968,0.8892518277015086,fdr_bh,0.582,0.45377989483412
21,abbrev * group_label,VCO,control,cue,2958450.642178,1509984.1820290328,2867061.871409,2090791.807753634,False,True,0.07923540112479945,8.0,two-sided,0.9387915402941731,0.9912379950592107,fdr_bh,0.493,0.05011286777428676
22,abbrev * group_label,VCO,control,alcohol,2958450.642178,1509984.1820290328,2479361.40766,1626038.2002625263,False,True,0.4533021549656742,6.313479960551809,two-sided,0.6654961432019861,0.9209845642531691,fdr_bh,0.542,0.3069552748502652
