"case_id","abbrev","signal_density","group_label"
39,"DTN",1661458.33333,"control"
39,"PCG",2943682.08092,"control"
39,"PG",3053261.04418,"control"
39,"PRNc",4324576.40232,"control"
39,"SG",4850600,"control"
39,"SUT",3986433.33333,"control"
39,"TRN",6419950.49505,"control"
39,"V",5852393.93939,"control"
39,"CS",3233224.35897,"control"
39,"LC",3370833.33333,"control"
39,"LDT",3295891.89189,"control"
39,"NI",5512750,"control"
39,"PRNr",3922247.83147,"control"
39,"SLC",2527900,"control"
39,"SLD",3034440,"control"
39,"NLL",1234932.64249,"control"
39,"PB",3476176.66667,"control"
39,"PSV",4230007.8534,"control"
39,"SOC",1198570.3125,"control"
39,"LHA",1473021.72097,"control"
39,"LPO",1181330.50847,"control"
39,"PST",3433400,"control"
39,"PSTN",2988166.66667,"control"
39,"RCH",64318.1818182,"control"
39,"STN",690314.814815,"control"
39,"TU",89715.9763314,"control"
39,"ZI",3043944.44444,"control"
39,"AHN",2014679.05405,"control"
39,"MBO",948874.551971,"control"
39,"MPN",416109.589041,"control"
39,"PH",1918981.20301,"control"
39,"PMv",1179973.68421,"control"
39,"PVHd",2281222.22222,"control"
39,"VMH",235576.086957,"control"
39,"ADP",2697461.53846,"control"
39,"AVP",222450,"control"
39,"AVPV",141523.809524,"control"
39,"DMH",1951405.55556,"control"
39,"MEPO",480148.148148,"control"
39,"MPO",696037.931034,"control"
39,"PD",1406000,"control"
39,"PS",2154300,"control"
39,"PVp",99976.1904762,"control"
39,"PVpo",147115.384615,"control"
39,"SBPV",388557.692308,"control"
39,"SFO",127250,"control"
39,"VLPO",275500,"control"
39,"ARH",53553.8461538,"control"
39,"PVH",994268.041237,"control"
39,"PVa",65000,"control"
39,"PVi",127862.068966,"control"
39,"SO",297409.090909,"control"
39,"ATN",2310059.21053,"control"
39,"EPI",1369736.19632,"control"
39,"GENv",3814007.40741,"control"
39,"ILM",1940333.33333,"control"
39,"LAT",3529008.49858,"control"
39,"MED",1692872.92818,"control"
39,"MTN",2131681.81818,"control"
39,"RT",951132.701422,"control"
39,"GENd",3185408.40841,"control"
39,"PP",2119916.66667,"control"
39,"SPA",1365055.55556,"control"
39,"SPF",1455510.20408,"control"
39,"VENT",2718154.72028,"control"
39,"CUN",4162252.52525,"control"
39,"EW",6904714.28571,"control"
39,"III",5238818.18182,"control"
39,"IV",6038000,"control"
39,"LT",2976000,"control"
39,"MRN",3322222.58274,"control"
39,"ND",7383000,"control"
39,"PRC",6673115.38462,"control"
39,"APN",3302447.97688,"control"
39,"MPT",2694800,"control"
