,Contrast,abbrev,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
0,abbrev * group_label,ACVII,relapse,control,4221800.0,4458532.796784162,5065700.0,3923693.6297320668,False,True,-0.31772349638350506,8.0,two-sided,0.7588293533842518,0.9402959958609246,fdr_bh,0.508,-0.20094598294482938
1,abbrev * group_label,ACVII,relapse,cue,4221800.0,4458532.796784162,8382250.0,7241089.06979238,False,True,-1.0065722313546153,4.766866688296638,two-sided,0.3624675591695471,0.8112824449479418,fdr_bh,0.683,-0.7152954837884348
2,abbrev * group_label,ACVII,relapse,alcohol,4221800.0,4458532.796784162,7714750.0,2790009.9312845943,False,True,-1.4353824617599116,6.72566868384548,two-sided,0.19600494802425664,0.7212117006933448,fdr_bh,0.895,-0.9111803688418486
3,abbrev * group_label,ACVII,control,cue,5065700.0,3923693.6297320668,8382250.0,7241089.06979238,False,True,-0.8243236705381178,4.393098504151454,two-sided,0.4521684249282918,0.8554081770098654,fdr_bh,0.622,-0.5931041217763425
4,abbrev * group_label,ACVII,control,alcohol,5065700.0,3923693.6297320668,7714750.0,2790009.9312845943,False,True,-1.18172719778757,6.951562565553349,two-sided,0.2761566386490605,0.7910249479947664,fdr_bh,0.757,-0.7604987537044684
5,abbrev * group_label,ACVII,cue,alcohol,8382250.0,7241089.06979238,7714750.0,2790009.9312845943,False,True,0.1720361877037309,6.0,two-sided,0.8690650570327584,0.9606464561365976,fdr_bh,0.528,0.12164795493478985
6,abbrev * group_label,VII,relapse,control,1384061.723858,1349302.8858934352,2416398.7042851998,1555429.949716979,False,True,-1.1210488875148252,8.0,two-sided,0.2947880640756012,0.8027267916608868,fdr_bh,0.714,-0.7090135705889492
7,abbrev * group_label,VII,relapse,cue,1384061.723858,1349302.8858934352,3145904.3823384,2087133.7967841506,False,True,-1.5851569174506286,8.0,two-sided,0.15159070882678713,0.7027698690048799,fdr_bh,0.993,-1.0025412615830989
8,abbrev * group_label,VII,relapse,alcohol,1384061.723858,1349302.8858934352,1258065.627024,639021.7917325228,False,True,0.1845295381764871,5.93527988613201,two-sided,0.859741425733948,0.9582805908682593,fdr_bh,0.514,0.11428905211601764
9,abbrev * group_label,VII,control,cue,2416398.7042851998,1555429.949716979,3145904.3823384,2087133.7967841506,False,True,-0.6266763861901223,8.0,two-sided,0.5483328330129873,0.877052325914777,fdr_bh,0.556,-0.3963449472408152
10,abbrev * group_label,VII,control,alcohol,2416398.7042851998,1555429.949716979,1258065.627024,639021.7917325228,False,True,1.5132113575059059,5.537251216164386,two-sided,0.18504459633257034,0.7134419037308986,fdr_bh,0.946,0.9281528720805325
11,abbrev * group_label,VII,cue,alcohol,3145904.3823384,2087133.7967841506,1258065.627024,639021.7917325228,False,True,1.913545089862622,4.902581721972661,two-sided,0.11501564115171777,0.6901732447063187,fdr_bh,1.288,1.1565906132864363
12,abbrev * group_label,VNC,relapse,control,2563059.3383462,2259143.0877073,4049628.154382,2257124.397962771,False,True,-1.040891156815137,8.0,two-sided,0.32835856033814986,0.8112824449479418,fdr_bh,0.68,-0.6583173703726659
13,abbrev * group_label,VNC,relapse,cue,2563059.3383462,2259143.0877073,3260699.350256,1898252.132880964,False,True,-0.5032705202944767,6.954045148760242,two-sided,0.6303199151539927,0.8991726949378435,fdr_bh,0.55,-0.3303157050135729
14,abbrev * group_label,VNC,relapse,alcohol,2563059.3383462,2259143.0877073,1804883.16673875,1463647.2396013022,False,True,0.6077456995921006,6.801934579788373,two-sided,0.5630876785667009,0.877052325914777,fdr_bh,0.569,0.38718109570303705
15,abbrev * group_label,VNC,control,cue,4049628.154382,2257124.397962771,3260699.350256,1898252.132880964,False,True,0.5693955542953413,6.953029100242226,two-sided,0.5870027265589701,0.8775232449673273,fdr_bh,0.561,0.3737570642777773
16,abbrev * group_label,VNC,control,alcohol,4049628.154382,2257124.397962771,1804883.16673875,1463647.2396013022,False,True,1.8004179523858022,6.803770604970204,two-sided,0.11604071954256627,0.6901732447063187,fdr_bh,1.177,1.1471131172572773
17,abbrev * group_label,VNC,cue,alcohol,3260699.350256,1898252.132880964,1804883.16673875,1463647.2396013022,False,True,1.214696897999763,6.0,two-sided,0.2701122164079703,0.7910249479947664,fdr_bh,0.785,0.8589204136618964
18,abbrev * group_label,CN,relapse,control,2955933.3006380005,1343131.1340834256,2714537.8017920004,1375670.8435010046,False,True,0.2807504675319061,8.0,two-sided,0.7860257258285213,0.9402959958609246,fdr_bh,0.505,0.1775621863115949
19,abbrev * group_label,CN,relapse,cue,2955933.3006380005,1343131.1340834256,2529878.148627,1821311.382287251,False,True,0.4209843545096165,8.0,two-sided,0.6848485514167812,0.9308799344994855,fdr_bh,0.52,0.26625388390923316
20,abbrev * group_label,CN,relapse,alcohol,2955933.3006380005,1343131.1340834256,2108106.3401475,1428365.55050881,False,True,0.9085184016293628,6.358959662540887,two-sided,0.39672927697385774,0.8262615810841569,fdr_bh,0.648,0.6142316970175755
21,abbrev * group_label,CN,control,cue,2714537.8017920004,1375670.8435010046,2529878.148627,1821311.382287251,False,True,0.18090598497685134,8.0,two-sided,0.8609404519536334,0.9582805908682593,fdr_bh,0.498,0.1144149909766107
22,abbrev * group_label,CN,control,alcohol,2714537.8017920004,1375670.8435010046,2108106.3401475,1428365.55050881,False,True,0.6433399519815834,6.443306601501897,two-sided,0.542210892974651,0.877052325914777,fdr_bh,0.576,0.43363072878748987
23,abbrev * group_label,CN,cue,alcohol,2529878.148627,1821311.382287251,2108106.3401475,1428365.55050881,False,True,0.38934757030671296,6.9989444148004845,two-sided,0.7085943243837846,0.9402959958609246,fdr_bh,0.533,0.2534221378489387
24,abbrev * group_label,B,relapse,control,5711549.067599999,3744738.711093519,11091058.351646,5302275.873362692,False,True,-1.853082863435862,8.0,two-sided,0.1009976165421767,0.6728797800956736,fdr_bh,1.238,-1.1719925082968154
25,abbrev * group_label,B,relapse,cue,5711549.067599999,3744738.711093519,7492902.564110001,7475364.200428628,False,True,-0.47641307335857,8.0,two-sided,0.6465203096904093,0.9054856271078384,fdr_bh,0.529,-0.3013100837787931
26,abbrev * group_label,B,relapse,alcohol,5711549.067599999,3744738.711093519,5753082.9836800005,4493771.741512133,False,True,-0.01482115497625146,5.894661134719606,two-sided,0.9886637330123398,0.9981487627931295,fdr_bh,0.509,-0.01017336058297765
27,abbrev * group_label,B,control,cue,11091058.351646,5302275.873362692,7492902.564110001,7475364.200428628,False,True,0.8778852099885737,8.0,two-sided,0.40559837892951867,0.8295227536760391,fdr_bh,0.622,0.5552233575478186
28,abbrev * group_label,B,control,alcohol,11091058.351646,5302275.873362692,5753082.9836800005,4493771.741512133,False,True,1.6340579454187565,6.943805279028648,two-sided,0.14661005933076893,0.7027698690048799,fdr_bh,1.035,1.073629041950983
29,abbrev * group_label,B,cue,alcohol,7492902.564110001,7475364.200428628,5753082.9836800005,4493771.741512133,False,True,0.43193235912762173,6.626970132509254,two-sided,0.6794939201507147,0.9273308681464667,fdr_bh,0.539,0.27309443680183093
30,abbrev * group_label,PCG,relapse,control,4849652.603081999,2437372.7891161405,10453913.501734,5269574.128433392,False,True,-2.1583861211827307,8.0,two-sided,0.06294748496065829,0.5878020035430183,fdr_bh,1.623,-1.3650832426067259
31,abbrev * group_label,PCG,relapse,cue,4849652.603081999,2437372.7891161405,6479263.59500272,5650730.941524995,False,True,-0.5921236788331277,8.0,two-sided,0.570119668507773,0.877052325914777,fdr_bh,0.549,-0.3744918963261432
